District,State,Anemia_Prevalence,Geo_Risk
Sultanpur ,Uttar Pradesh,50.2,High
Uttarkashi ,Uttarakhand,60.94,High
Chamoli ,Uttarakhand,41.75,Medium
Rudraprayag ,Uttarakhand,40.55,Medium
Tehri Garhwal ,Uttarakhand,42.22,Medium
Dehradun ,Uttarakhand,47.85,Medium
Garhwal ,Uttarakhand,40.3,Medium
Pithoragarh ,Uttarakhand,25.53,Low
Bageshwar ,Uttarakhand,27.76,Low
Almora ,Uttarakhand,33.44,Low
Champawat ,Uttarakhand,32.5,Low
Nainital ,Uttarakhand,34.53,Low
Udham Singh Nagar ,Uttarakhand,51.01,High
Hardwar ,Uttarakhand,43.77,Medium
Darjiling ,West Bengal,59.17,High
Jalpaiguri ,West Bengal,71.42,High
Koch Bihar ,West Bengal,74.76,High
Uttar Dinajpur ,West Bengal,72.42,High
Dakshin Dinajpur ,West Bengal,82.04,High
Maldah ,West Bengal,73.6,High
Murshidabad ,West Bengal,77.57,High
Birbhum ,West Bengal,77.71,High
Nadia ,West Bengal,73.35,High
North Twenty Four Pargana ,West Bengal,65.27,High
Hugli ,West Bengal,75.06,High
Bankura ,West Bengal,77.04,High
Puruliya ,West Bengal,76.7,High
Haora ,West Bengal,65.25,High
Kolkata ,West Bengal,58.18,High
South Twenty Four Pargana ,West Bengal,61.62,High
Paschim Medinipur ,West Bengal,81.49,High
Purba Medinipur ,West Bengal,70.39,High
Paschim Barddhaman ,West Bengal,65.81,High
Purba Barddhaman ,West Bengal,77.86,High
